subject.id,institution,equipment,acclimation,diet,subject.mass,vo2,vco2,ee,rer,room.temp,total_mass,lean_mass,fat_mass,phase
Y4,Yale,Columbus,FALSE,LF,23.8,83.04738596,82.65030175,0.418700982,0.997639855,21.5,22.85,16.5826,2.069235,2
Y4,Yale,Columbus,TRUE,LF,23.8,82.04359592,77.36609796,0.408900716,0.940350227,21.5,22.85,16.5826,2.069235,2
Y5,Yale,Columbus,FALSE,HF,24.3,87.47147368,66.02651053,0.417750398,0.755228033,21.5,25.45,16.7779,4.401405,2
Y5,Yale,Columbus,TRUE,HF,24.3,82.79422819,63.26603514,0.396264288,0.754330473,21.5,25.45,16.7779,4.401405,2
Y6,Yale,Columbus,FALSE,LF,21.1,97.28099474,94.91150175,0.488356521,0.974465531,21.5,21.5,15.6878,1.78282,2
Y6,Yale,Columbus,TRUE,LF,21.1,88.29453861,80.8447722,0.437383095,0.901976443,21.5,21.5,15.6878,1.78282,2
Y7,Yale,Columbus,FALSE,HF,24.9,108.6286526,83.32719474,0.520265397,0.766611716,21.5,25.95,17.5414,3.747165,2
Y7,Yale,Columbus,TRUE,HF,24.9,99.87159266,76.54846448,0.478256548,0.743549623,21.5,25.95,17.5414,3.747165,2
Y8,Yale,Columbus,FALSE,LF,20.8,90.60407018,89.1666807,0.455688989,0.98438882,21.5,21.65,15.36175,2.371945,2
Y8,Yale,Columbus,TRUE,LF,20.8,90.54978842,81.22480309,0.446691348,0.852773199,21.5,21.65,15.36175,2.371945,2
Y9,Yale,Columbus,FALSE,HF,26.8,87.17945965,69.53189474,0.420476526,0.798338668,21.5,27.6,18.17435,4.758695,2
Y9,Yale,Columbus,TRUE,HF,26.8,85.91664678,69.12848421,0.415053609,0.803813404,21.5,27.6,18.17435,4.758695,2
D1,UC Davis,Columbus,FALSE,HF,45.57,126.4153994,98.40503944,0.607039063,0.779179352,22,44.025,24.33708,15.86292,3
D1,UC Davis,Columbus,TRUE,HF,45.57,129.565275,98.58555553,0.619652373,0.759757437,22,44.025,24.33708,15.86292,3
D10,UC Davis,Columbus,FALSE,LF,24.92,96.67910737,95.54109404,0.486680812,0.991771699,22,25.59,21.0888,3.1512,3
D10,UC Davis,Columbus,TRUE,LF,24.92,100.0749299,95.46709871,0.49998191,0.95309927,22,25.59,21.0888,3.1512,3
D11,UC Davis,Columbus,FALSE,LF,30.28,115.5899158,111.9680028,0.579376469,0.978975213,22,30.75,22.560762,6.659238,3
D11,UC Davis,Columbus,TRUE,LF,30.28,118.3097167,109.2535789,0.587093052,0.919615064,22,30.75,22.560762,6.659238,3
D12,UC Davis,Columbus,FALSE,LF,28.71,108.4683947,105.0342758,0.543641853,0.973726463,22,29.02,22.118844,5.351156,3
D12,UC Davis,Columbus,TRUE,LF,28.71,107.7487392,99.88405494,0.535109546,0.928657451,22,29.02,22.118844,5.351156,3
D13,UC Davis,Columbus,FALSE,LF,27.35,112.7746061,107.9274184,0.563812448,0.958162329,22,27.765,21.174384,5.005616,3
D13,UC Davis,Columbus,TRUE,LF,27.35,104.736669,95.6210076,0.518524047,0.908912869,22,27.765,21.174384,5.005616,3
D14,UC Davis,Columbus,FALSE,HF,45.14,147.2499043,111.6803904,0.703830385,0.75821508,22,44.18,24.64885,16.50115,3
D14,UC Davis,Columbus,TRUE,HF,45.14,138.6420385,104.6500796,0.662131262,0.753857494,22,44.18,24.64885,16.50115,3
D15,UC Davis,Columbus,FALSE,HF,37.52,139.72984,108.35977,0.670521205,0.776005038,22,36.57,21.3614,12.2786,3
D15,UC Davis,Columbus,TRUE,HF,37.52,134.3588358,100.7254245,0.640910491,0.749298877,22,36.57,21.3614,12.2786,3
D16,UC Davis,Columbus,FALSE,HF,37.8,138.975075,107.66925,0.666782961,0.774773059,22,36.83,24.225744,9.914256,3
D16,UC Davis,Columbus,TRUE,HF,37.8,144.4644409,108.0232364,0.688808061,0.746574467,22,36.83,24.225744,9.914256,3
D17,UC Davis,Columbus,FALSE,HF,38.8,136.3258786,104.0726857,0.652364678,0.763799232,22,37.76,21.949984,12.930016,3
D17,UC Davis,Columbus,TRUE,HF,38.8,132.1498606,98.37387273,0.629604104,0.744199576,22,37.76,21.949984,12.930016,3
D2,UC Davis,Columbus,FALSE,HF,41.63,140.7579683,108.4430663,0.674665185,0.771721862,22,40.655,23.45427,14.40573,3
D2,UC Davis,Columbus,TRUE,HF,41.63,130.6025437,98.11956244,0.623224861,0.750691647,22,40.655,23.45427,14.40573,3
D3,UC Davis,Columbus,FALSE,LF,28.7,114.8823796,115.8661519,0.580899422,1.009910283,22,29.365,23.431716,4.288284,3
D3,UC Davis,Columbus,TRUE,LF,28.7,113.1580579,105.6708105,0.562827823,0.930195353,22,29.365,23.431716,4.288284,3
D4,UC Davis,Columbus,FALSE,HF,39.72,128.8546222,100.6232644,0.619105397,0.781148602,22,39.475,22.512114,14.477886,3
D4,UC Davis,Columbus,TRUE,HF,39.72,134.0196104,100.9452442,0.639816725,0.752119789,22,39.475,22.512114,14.477886,3
D5,UC Davis,Columbus,FALSE,LF,33.34,130.7576278,126.7648541,0.65551774,0.970812406,22,33.735,22.737075,8.732925,3
D5,UC Davis,Columbus,TRUE,LF,33.34,132.5361511,120.3842224,0.655469921,0.905802026,22,33.735,22.737075,8.732925,3
D7,UC Davis,Columbus,FALSE,LF,27.41,120.4613665,119.1253828,0.606490919,0.989669384,22,28.145,21.775608,4.504392,3
D7,UC Davis,Columbus,TRUE,LF,27.41,120.7886568,113.2001056,0.601227413,0.934635738,22,28.145,21.775608,4.504392,3
D8,UC Davis,Columbus,FALSE,LF,26.24,115.9134672,116.9640574,0.586177222,1.009750941,22,26.555,21.748797,3.241203,3
D8,UC Davis,Columbus,TRUE,LF,26.24,116.236124,107.6674373,0.577166751,0.922225442,22,26.555,21.748797,3.241203,3
D9,UC Davis,Columbus,FALSE,HF,45.23,149.4860034,116.6302487,0.718117394,0.780171869,22,44.66,24.487076,17.702924,3
