,Subject ID,Total.Mass,Lean.Mass,Fat.Mass,Time of Day,Group,Hourly Food Intake,Hourly Water Intake,Cumulative Food Intake,Cumulative Water Intake,Oxygen Consumption,Carbon Dioxide Production,Energy Expenditure,Respiratory Exchange Ratio,Locomotor Activity,Ambulatory Activity,Pedestrian Locomotion,Total Distance (includes fine movement),Energy Balance
107,V16,16.7,11.25405,2.094025,Dark,Vanderbilt,0.521274025,0.055841054,29.25119542,7.308372,69.34958356,66.91860922,0.347318691,0.958913394,212.0628646,NA,0.874303706,1.067895122,0.173955334
108,V16,16.7,11.25405,2.094025,Light,Vanderbilt,0.108723088,0.02518615,30.02241522,7.594207,59.36466651,53.55731948,0.293190545,0.89822735,93.16263031,NA,0.301361704,0.390502096,-0.184467458
109,V2,20.285,14.6791,1.349935,Full day,Vanderbilt,0.339802492,0.032550529,31.94143424,8.310786,74.95624829,67.8777855,0.370475408,0.890465651,167.252462,NA,0.830932106,0.993819578,-0.030672916
110,V2,20.285,14.6791,1.349935,Dark,Vanderbilt,0.50807524,0.05419889,31.69282482,8.072781,85.73371948,82.31592066,0.428918001,0.955765244,249.1225694,NA,1.364174764,1.605339246,0.079157239
111,V2,20.285,14.6791,1.349935,Light,Vanderbilt,0.164213537,0.009960935,31.94143424,8.310786,63.50144989,52.53226292,0.308359897,0.821062201,80.0857671,NA,0.283813243,0.361878104,-0.14414636
112,V3,20.25,14.63275,1.6523,Dark,Vanderbilt,0.422978652,0.078338823,25.31071262,9.39338,87.04728877,82.97136563,0.434819699,0.947077502,279.8766198,NA,1.325320863,1.594459349,-0.011841047
113,V3,20.25,14.63275,1.6523,Full day,Vanderbilt,0.271782759,0.046978241,25.54757936,9.449513,77.36097889,70.39478428,0.382736251,0.896637043,179.156607,NA,0.755346746,0.931454959,-0.110953492
114,V3,20.25,14.63275,1.6523,Light,Vanderbilt,0.114013132,0.014254157,25.54757936,9.449513,67.04801311,57.00456089,0.327283265,0.842933338,71.92051201,NA,0.156926601,0.235361627,-0.213270133
115,V4,18.095,13.02585,1.335265,Light,Vanderbilt,0.17160934,0.020838761,31.2865067,9.166758,63.77620377,55.55653889,0.312787552,0.865128511,118.6497597,NA,0.279651818,0.412182616,-0.141178213
116,V4,18.095,13.02585,1.335265,Full day,Vanderbilt,0.332835178,0.057937479,31.2865067,9.166758,72.70154595,66.57460363,0.360148305,0.905520757,202.8782453,NA,0.834000562,1.043244474,-0.027313127
117,V4,18.095,13.02585,1.335265,Dark,Vanderbilt,0.487343273,0.093490417,31.05678718,8.978422,81.08454964,76.9231679,0.404631234,0.943458614,281.9886806,NA,1.399898239,1.677838396,0.082712039
118,V5,19.37,13.80405,1.485965,Dark,Vanderbilt,0.359478951,0.091277069,19.54274182,11.78113,78.45560056,74.18597056,0.391243204,0.938998398,215.9718802,NA,1.135910462,1.342226631,-0.031764253
119,V5,19.37,13.80405,1.485965,Light,Vanderbilt,0.050661504,0.017445587,19.58541886,12.03757,63.67174457,55.42141076,0.312226426,0.867221205,58.54195379,NA,0.285812791,0.344576895,-0.261564922
120,V5,19.37,13.80405,1.485965,Full day,Vanderbilt,0.20835552,0.055146769,19.58541886,12.03757,71.29529072,65.09767436,0.352972768,0.904234332,139.7233662,NA,0.719331803,0.853784543,-0.144617249
121,V6,17.225,12.76905,0.876712,Light,Vanderbilt,0.176099758,0.023611804,32.6786866,8.929685,64.38116397,58.09513207,0.317979383,0.893760293,130.2282237,NA,0.414051095,0.548149276,-0.141879626
122,V6,17.225,12.76905,0.876712,Dark,Vanderbilt,0.512043703,0.050550544,32.15394084,8.358766,76.87821276,74.07210267,0.384900785,0.955229344,264.3834444,NA,1.106862995,1.365745306,0.127142918
123,V6,17.225,12.76905,0.876712,Full day,Vanderbilt,0.347645602,0.037367756,32.6786866,8.929685,70.82547919,66.33392801,0.352488539,0.925457852,199.4076392,NA,0.764270688,0.963293927,-0.004842937
124,V7,20.015,14.1576,1.52009,Dark,Vanderbilt,0.478334272,0.090871258,29.15514534,9.688761,79.06323182,76.44837332,0.396140095,0.959474691,167.2881944,NA,0.900397265,1.066256986,0.082194177
125,V7,20.015,14.1576,1.52009,Full day,Vanderbilt,0.32098948,0.056217823,30.17301108,10.15451,72.23518364,66.8378395,0.358601507,0.913597359,110.4800895,NA,0.565155004,0.676302,-0.037612028
126,V7,20.015,14.1576,1.52009,Light,Vanderbilt,0.156803609,0.020057717,30.17301108,10.15451,64.96539482,56.60555211,0.31863436,0.864751992,49.99678373,NA,0.209463586,0.262560481,-0.161830751
127,V8,18.77,13.3126,1.66873,Full day,Vanderbilt,0.418834147,0.054751718,39.3704098,10.59433,71.8160622,64.84613653,0.354746928,0.89248776,188.9113697,NA,0.824104786,1.009455318,0.064087219
128,V8,18.77,13.3126,1.66873,Dark,Vanderbilt,0.622663693,0.078148406,37.51801922,10.08155,80.49185726,75.43282948,0.40064712,0.931052367,276.1762899,NA,1.388105149,1.648481963,0.222016573
129,V8,18.77,13.3126,1.66873,Light,Vanderbilt,0.206142447,0.030337783,39.3704098,10.59433,62.57898651,53.57453738,0.305877223,0.851428216,96.00084473,NA,0.263231967,0.371609869,-0.099734776
130,V9,19.48,14.3678,1.043034,Full day,Vanderbilt,0.444207778,0.03330375,41.75553109,7.75692,71.80051656,65.08870262,0.354953939,0.893648083,36.06636831,NA,0.201140794,0.249165413,0.089253838
131,V9,19.48,14.3678,1.043034,Light,Vanderbilt,0.131573838,0.0068565,41.75553109,7.75692,65.0566464,54.46146658,0.316622623,0.83013951,25.31817634,NA,0.080703016,0.111697036,-0.185048785
132,V9,19.48,14.3678,1.043034,Dark,Vanderbilt,0.743815303,0.058649031,41.75553109,7.642015,78.13460295,75.07018648,0.390956096,0.953297627,46.16145833,NA,0.314260304,0.378280677,0.352859207
133,Y1,20.05,14.90785,1.604605,Full day,Yale,0.732302128,0,68.76,NA,83.41191795,81.78204359,0.419177309,0.980633303,426.1794872,219.7115385,NA,NA,0.313124819
134,Y1,20.05,14.90785,1.604605,Dark,Yale,0.860295833,0,66.3152,NA,89.33821,89.0583,0.450580365,0.997719074,629.975,337.4375,NA,NA,0.409715468
135,Y1,20.05,14.90785,1.604605,Light,Yale,0.598743478,0,68.76,NA,77.17371579,74.12282632,0.38612146,0.962648281,211.6578947,95.78947368,NA,NA,0.212622018
136,Y10,20.8,15.36125,1.91354,Dark,Yale,0.764,0,58.2168,NA,85.64157875,85.51130375,0.432088964,1.000060055,486.08125,212.39375,NA,NA,0.331911036
137,Y10,20.8,15.36125,1.91354,Full day,Yale,0.651838298,0,60.547,NA,79.0035881,77.70775756,0.397297921,0.983195986,335.0932476,136.659164,NA,NA,0.254540377
138,Y10,20.8,15.36125,1.91354,Light,Yale,0.5348,0,60.547,NA,71.96995563,69.43909934,0.360433239,0.965326773,175.1059603,56.41059603,NA,NA,0.174366761
139,Y11,19.5,14.6509,1.473765,Light,Yale,0.521513043,0,77.6606,NA,79.352,71.1280106,0.391393812,0.897531917,307.384106,142.5695364,NA,NA,0.130119232
140,Y11,19.5,14.6509,1.473765,Dark,Yale,1.128491667,0,75.4832,NA,91.8078525,87.54018,0.458634186,0.956036449,879.675,472.775,NA,NA,0.669857481
141,Y11,19.5,14.6509,1.473765,Full day,Yale,0.831459574,0,77.6606,NA,85.76015563,79.57157042,0.42598693,0.927630712,601.8102894,312.4501608,NA,NA,0.405472644
142,Y12,19.1,14.6819,1.096827,Dark,Yale,0.825279167,0,63.7176,NA,89.56177875,86.61694125,0.448761307,0.967774066,909.7,479.84375,NA,NA,0.37651786
