"","Ptt","RDate","Period","T2460","T2224","T2022","T1820","T1618","T1416","T1214","T1012","T810","T68","T46","T04","Species"
"680",108421,"5/10/13 17:00",17,100,0,0,0,0,0,0,0,0,0,0,0,"Rough-toothed dolphin"
"681",108421,"5/10/13 5:00",5,100,0,0,0,0,0,0,0,0,0,0,0,"Rough-toothed dolphin"
"682",108421,"5/2/13 11:00",11,100,0,0,0,0,0,0,0,0,0,0,0,"Rough-toothed dolphin"
"683",108421,"5/2/13 17:00",17,100,0,0,0,0,0,0,0,0,0,0,0,"Rough-toothed dolphin"
"684",108421,"5/2/13 23:00",23,100,0,0,0,0,0,0,0,0,0,0,0,"Rough-toothed dolphin"
"685",108421,"5/2/13 5:00",5,100,0,0,0,0,0,0,0,0,0,0,0,"Rough-toothed dolphin"
"686",108421,"5/3/13 11:00",11,100,0,0,0,0,0,0,0,0,0,0,0,"Rough-toothed dolphin"
"687",108421,"5/3/13 17:00",17,99.6,0.4,0,0,0,0,0,0,0,0,0,0,"Rough-toothed dolphin"
"688",108421,"5/3/13 23:00",23,99.6,0.4,0,0,0,0,0,0,0,0,0,0,"Rough-toothed dolphin"
"689",108421,"5/3/13 5:00",5,99.6,0.4,0,0,0,0,0,0,0,0,0,0,"Rough-toothed dolphin"
"690",108421,"5/4/13 11:00",11,100,0,0,0,0,0,0,0,0,0,0,0,"Rough-toothed dolphin"
"691",108421,"5/4/13 17:00",17,100,0,0,0,0,0,0,0,0,0,0,0,"Rough-toothed dolphin"
"692",108421,"5/4/13 23:00",23,99.6,0.4,0,0,0,0,0,0,0,0,0,0,"Rough-toothed dolphin"
"693",108421,"5/4/13 5:00",5,100,0,0,0,0,0,0,0,0,0,0,0,"Rough-toothed dolphin"
"694",108421,"5/5/13 11:00",11,100,0,0,0,0,0,0,0,0,0,0,0,"Rough-toothed dolphin"
"695",108421,"5/5/13 17:00",17,100,0,0,0,0,0,0,0,0,0,0,0,"Rough-toothed dolphin"
"696",108421,"5/5/13 23:00",23,100,0,0,0,0,0,0,0,0,0,0,0,"Rough-toothed dolphin"
"697",108421,"5/5/13 5:00",5,100,0,0,0,0,0,0,0,0,0,0,0,"Rough-toothed dolphin"
"698",108421,"5/6/13 11:00",11,100,0,0,0,0,0,0,0,0,0,0,0,"Rough-toothed dolphin"
"699",108421,"5/6/13 17:00",17,100,0,0,0,0,0,0,0,0,0,0,0,"Rough-toothed dolphin"
"700",108421,"5/6/13 23:00",23,100,0,0,0,0,0,0,0,0,0,0,0,"Rough-toothed dolphin"
"701",108421,"5/6/13 5:00",5,100,0,0,0,0,0,0,0,0,0,0,0,"Rough-toothed dolphin"
"702",108421,"5/7/13 11:00",11,100,0,0,0,0,0,0,0,0,0,0,0,"Rough-toothed dolphin"
