"","PTT","Species","Age","How.age","Sex","How.sex","Deploy.date","Tag.type","DURATION_MAX","IDDI_MED","MB","MASS_MED"
"74",111666,"Sperm whale","SA","Visual size","M","Distribution","4/28/12 15:52","MK10-A",3726,492,70,12362.2584599671
"75",113554,"Sperm whale","SA","Visual size","M","Genetic","4/28/12 16:06","AM-S240C",NA,NA,70,12362.2584599671
"76",108427,"Sperm whale","SA","Visual size","M","Distribution","4/28/12 16:36","AM-S240C",NA,NA,70,12362.2584599671
"77",119496,"Sperm whale","U","Visual size","U","Characters","6/6/12 16:00","AM-S240C",NA,NA,70,11774.4721304032
"78",119493,"Sperm whale","SA","Visual size","M","Distribution","5/4/13 18:00","AM-S240C",NA,NA,70,12362.2584599671
"79",119499,"Sperm whale","SA","Visual size","M","Genetic","5/4/13 19:00","AM-S240C",NA,NA,70,12362.2584599671
"80",111671,"Sperm whale","SA","Visual size","M","Genetic","6/3/13 19:33","MK10-A",3420,517,70,12362.2584599671
"81",119502,"Sperm whale","SA","Visual size","M","Genetic","6/3/13 19:42","AM-S240C",NA,NA,70,12362.2584599671
"82",119500,"Sperm whale","SA","Visual size","M","Genetic","6/3/13 19:56","AM-S240C",NA,NA,70,12362.2584599671
"83",111673,"Sperm whale","SA","Visual size","M","Genetic","6/3/13 20:07","MK10-A",3536,454,70,12362.2584599671
"84",121391,"Sperm whale","SA","Visual size","M","Genetic","6/17/13 18:57","AM-S240C",NA,NA,70,12362.2584599671
"85",111674,"Sperm whale","A","Visual size","F","Genetic","6/20/13 19:54","MK10-A",3494,557,70,11186.6858008392
"86",121390,"Sperm whale","A","Visual size","F","Distribution","6/20/13 21:05","AM-S240C",NA,NA,70,11186.6858008392
"87",113557,"Sperm whale","A","Visual size","F","Genetic","6/20/13 22:55","AM-S240C",NA,NA,70,11186.6858008392
"88",119501,"Sperm whale","A","Visual size","F","Genetic","6/20/13 23:13","AM-S240C",NA,NA,70,11186.6858008392
"89",119503,"Sperm whale","A","Visual size","F","Genetic","6/20/13 23:18","AM-S240C",NA,NA,70,11186.6858008392
"90",133068,"Sperm whale","SA","Visual size","M","Genetic","4/27/14 18:06","MK10-B",3694,458,70,12362.2584599671
