"","Ptt","Instr","Day","Time","LocationQuality","Latitude","Longitude","Depth","DRange","Species"
"5853",108419,NA,"6/21/11 0:00","6:12:30","2",25.90200043,-77.26998901,25,5.5,"Blainville's beaked whale"
"5854",108419,NA,"6/21/11 0:00","6:15:00","2",25.90200043,-77.26998901,25,5.5,"Blainville's beaked whale"
"5855",108419,NA,"6/21/11 0:00","6:17:30","2",25.90200043,-77.26998901,25,5.5,"Blainville's beaked whale"
"5856",108419,NA,"6/21/11 0:00","6:20:00","2",25.90200043,-77.26998901,25,5.5,"Blainville's beaked whale"
"5857",108419,NA,"6/21/11 0:00","6:22:30","2",25.90200043,-77.26998901,35,15.5,"Blainville's beaked whale"
"5858",108419,NA,"6/21/11 0:00","6:25:00","2",25.90200043,-77.26998901,75,25,"Blainville's beaked whale"
"5859",108419,NA,"6/21/11 0:00","6:27:30","2",25.90200043,-77.26998901,140,40,"Blainville's beaked whale"
"5860",108419,NA,"6/21/11 0:00","6:30:00","2",25.90200043,-77.26998901,25,5.5,"Blainville's beaked whale"
"5861",108419,NA,"6/21/11 0:00","6:32:30","2",25.90200043,-77.26998901,25,5.5,"Blainville's beaked whale"
"5862",108419,NA,"6/21/11 0:00","6:35:00","2",25.90200043,-77.26998901,140,40,"Blainville's beaked whale"
"5863",108419,NA,"6/21/11 0:00","6:37:30","2",25.90200043,-77.26998901,441,80.5,"Blainville's beaked whale"
"5864",108419,NA,"6/21/11 0:00","6:40:00","2",25.90200043,-77.26998901,661,140,"Blainville's beaked whale"
"5865",108419,NA,"6/21/11 0:00","6:42:30","2",25.90200043,-77.26998901,801,160.5,"Blainville's beaked whale"
"5866",108419,NA,"6/21/11 0:00","6:45:00","2",25.90200043,-77.26998901,961,159.5,"Blainville's beaked whale"
"5867",108419,NA,"6/21/11 0:00","6:47:30","2",25.90200043,-77.26998901,1089,127.5,"Blainville's beaked whale"
"5868",108419,NA,"6/21/11 0:00","6:50:00","2",25.90200043,-77.26998901,961,159.5,"Blainville's beaked whale"
"5869",108419,NA,"6/21/11 0:00","6:52:30","2",25.90200043,-77.26998901,961,159.5,"Blainville's beaked whale"
"5870",108419,NA,"6/21/11 0:00","6:55:00","2",25.90200043,-77.26998901,961,159.5,"Blainville's beaked whale"
"5871",108419,NA,"6/21/11 0:00","6:57:30","2",25.90200043,-77.26998901,961,159.5,"Blainville's beaked whale"
"5872",108419,NA,"6/21/11 0:00","7:00:00","2",25.90200043,-77.26998901,961,159.5,"Blainville's beaked whale"
"5873",108419,NA,"6/21/11 0:00","7:02:30","2",25.90200043,-77.26998901,961,159.5,"Blainville's beaked whale"
"5874",108419,NA,"6/21/11 0:00","7:05:00","2",25.90200043,-77.26998901,1089,127.5,"Blainville's beaked whale"
"5875",108419,NA,"6/21/11 0:00","7:07:30","2",25.90200043,-77.26998901,1089,127.5,"Blainville's beaked whale"
"5876",108419,NA,"6/21/11 0:00","7:10:00","2",25.90200043,-77.26998901,961,159.5,"Blainville's beaked whale"
"5877",108419,NA,"6/21/11 0:00","7:12:30","3",25.88800049,-77.25201416,961,159.5,"Blainville's beaked whale"
"5878",108419,NA,"6/21/11 0:00","7:15:00","3",25.88800049,-77.25201416,801,160.5,"Blainville's beaked whale"
"5879",108419,NA,"6/21/11 0:00","7:17:30","3",25.88800049,-77.25201416,661,140,"Blainville's beaked whale"
"5880",108419,NA,"6/21/11 0:00","7:20:00","3",25.88800049,-77.25201416,361,80.5,"Blainville's beaked whale"
"5881",108419,NA,"6/21/11 0:00","7:22:30","3",25.88800049,-77.25201416,180,40,"Blainville's beaked whale"
"5882",108419,NA,"6/21/11 0:00","7:25:00","3",25.88800049,-77.25201416,25,5.5,"Blainville's beaked whale"
"5883",108419,NA,"6/21/11 0:00","7:27:30","3",25.88800049,-77.25201416,105,35,"Blainville's beaked whale"
"5884",108419,NA,"6/21/11 0:00","7:30:00","3",25.88800049,-77.25201416,140,40,"Blainville's beaked whale"
"5885",108419,NA,"6/21/11 0:00","7:32:30","3",25.88800049,-77.25201416,105,35,"Blainville's beaked whale"
"5886",108419,NA,"6/21/11 0:00","7:35:00","3",25.88800049,-77.25201416,25,5.5,"Blainville's beaked whale"
"5887",108419,NA,"6/21/11 0:00","7:37:30","3",25.88800049,-77.25201416,75,25,"Blainville's beaked whale"
"5888",108419,NA,"6/21/11 0:00","7:40:00","3",25.88800049,-77.25201416,25,5.5,"Blainville's beaked whale"
"5889",108419,NA,"6/21/11 0:00","7:42:30","3",25.88800049,-77.25201416,75,25,"Blainville's beaked whale"
"5890",108419,NA,"6/21/11 0:00","7:45:00","3",25.88800049,-77.25201416,105,35,"Blainville's beaked whale"
"5891",108419,NA,"6/21/11 0:00","7:47:30","3",25.88800049,-77.25201416,75,25,"Blainville's beaked whale"
"5892",108419,NA,"6/21/11 0:00","7:50:00","3",25.88800049,-77.25201416,35,15.5,"Blainville's beaked whale"
"5893",108419,NA,"6/21/11 0:00","7:52:30","3",25.88800049,-77.25201416,105,35,"Blainville's beaked whale"
"5894",108419,NA,"6/21/11 0:00","7:55:00","3",25.88800049,-77.25201416,25,5.5,"Blainville's beaked whale"
"5895",108419,NA,"6/21/11 0:00","7:57:30","3",25.88800049,-77.25201416,35,15.5,"Blainville's beaked whale"
"5896",108419,NA,"6/21/11 0:00","8:00:00","3",25.88800049,-77.25201416,62,7,"Blainville's beaked whale"
"5897",108419,NA,"6/21/11 0:00","8:02:30","3",25.88800049,-77.25201416,17,4,"Blainville's beaked whale"
"5898",108419,NA,"6/21/11 0:00","8:05:00","3",25.88800049,-77.25201416,13,3,"Blainville's beaked whale"
"5899",108419,NA,"6/21/11 0:00","8:07:30","3",25.88800049,-77.25201416,46,9.5,"Blainville's beaked whale"
"5900",108419,NA,"6/21/11 0:00","8:10:00","3",25.88800049,-77.25201416,56,9.5,"Blainville's beaked whale"
"5901",108419,NA,"6/21/11 0:00","8:12:30","3",25.88800049,-77.25201416,11,2.5,"Blainville's beaked whale"
"5902",108419,NA,"6/21/11 0:00","8:15:00","3",25.88800049,-77.25201416,31,5.5,"Blainville's beaked whale"
"5903",108419,NA,"6/21/11 0:00","8:17:30","3",25.88800049,-77.25201416,56,9.5,"Blainville's beaked whale"
"5904",108419,NA,"6/21/11 0:00","8:20:00","3",25.88800049,-77.25201416,21,4.5,"Blainville's beaked whale"
"5905",108419,NA,"6/21/11 0:00","8:22:30","3",25.88800049,-77.25201416,2,1,"Blainville's beaked whale"
"5906",108419,NA,"6/21/11 0:00","8:25:00","3",25.88800049,-77.25201416,25,4,"Blainville's beaked whale"
"5907",108419,NA,"6/21/11 0:00","8:27:30","3",25.88800049,-77.25201416,38,8.5,"Blainville's beaked whale"
"5908",108419,NA,"6/21/11 0:00","8:30:00","3",25.88800049,-77.25201416,31,5.5,"Blainville's beaked whale"
"5909",108419,NA,"6/21/11 0:00","8:32:30","3",25.88800049,-77.25201416,8,2.5,"Blainville's beaked whale"
"5910",108419,NA,"6/21/11 0:00","8:35:00","3",25.88800049,-77.25201416,11,2.5,"Blainville's beaked whale"
"5911",108419,NA,"6/21/11 0:00","8:37:30","3",25.88800049,-77.25201416,21,4.5,"Blainville's beaked whale"
"5912",108419,NA,"6/21/11 0:00","8:40:00","3",25.88800049,-77.25201416,21,4.5,"Blainville's beaked whale"
"5913",108419,NA,"6/21/11 0:00","8:42:30","3",25.88800049,-77.25201416,17,4,"Blainville's beaked whale"
"5914",108419,NA,"6/21/11 0:00","8:45:00","3",25.88800049,-77.25201416,6,2,"Blainville's beaked whale"
"5915",108419,NA,"6/21/11 0:00","8:47:30","3",25.88800049,-77.25201416,17,4,"Blainville's beaked whale"
"5916",108419,NA,"6/21/11 0:00","8:50:00","3",25.88800049,-77.25201416,17,4,"Blainville's beaked whale"
"5917",108419,NA,"6/21/11 0:00","8:52:30","3",25.88800049,-77.25201416,17,4,"Blainville's beaked whale"
"5918",108419,NA,"6/21/11 0:00","8:55:00","3",25.88800049,-77.25201416,2,1,"Blainville's beaked whale"
"5919",108419,NA,"6/21/11 0:00","8:57:30","3",25.88800049,-77.25201416,11,2.5,"Blainville's beaked whale"
"5920",108419,NA,"6/21/11 0:00","9:00:00","3",25.88800049,-77.25201416,13,3,"Blainville's beaked whale"
"5921",108419,NA,"6/21/11 0:00","9:02:30","3",25.88800049,-77.25201416,13,3,"Blainville's beaked whale"
"5922",108419,NA,"6/21/11 0:00","9:05:00","3",25.88800049,-77.25201416,2,0.5,"Blainville's beaked whale"
"5923",108419,NA,"6/21/11 0:00","9:07:30","3",25.88800049,-77.25201416,21,4.5,"Blainville's beaked whale"
"5924",108419,NA,"6/21/11 0:00","9:10:00","3",25.88800049,-77.25201416,17,4,"Blainville's beaked whale"
"5925",108419,NA,"6/21/11 0:00","9:12:30","3",25.88800049,-77.25201416,21,4.5,"Blainville's beaked whale"
"5926",108419,NA,"6/21/11 0:00","9:15:00","3",25.88800049,-77.25201416,2,0.5,"Blainville's beaked whale"
"5927",108419,NA,"6/21/11 0:00","9:17:30","3",25.88800049,-77.25201416,11,2.5,"Blainville's beaked whale"
"5928",108419,NA,"6/21/11 0:00","9:20:00","3",25.88800049,-77.25201416,11,2.5,"Blainville's beaked whale"
