Fish_ID,Schisto_exposure,Schisto_pop,Schisto_fam,Cage,Died_in_cage,Schisto_infection,Plerocercoid_weight_mg,Treatment,Date_Schisto_exposure,Date_in_lake,Date_dissected,Age_at_dissection,Fish_sex,Initial_total_length_mm,Initial_std_length_mm,Initial_weight_g,Final_total_length_mm,Final_std_length_mm,Final_weight_g,Final_weight_no_Schisto,HK_weight_mg,Spleen_weight_mg,Liver_weight_mg,Gonad_weight_mg,Irregular_Apatemon_Cysts,Tr,Af,Er,Gy,Gl,Ac,Cp,Dg,Dp,Ec,Ph,Sg,Tc,Ju,An,Cl,Co,Ra,Ps,Pf,Vc
125,1,HG,HG-A,3,0,0,,Uninfected,12.05.09,20.05.09,11.08.09,91,F,48,43,0.8527,58,50,1.3068,1.3068,4.1,3.9,35.3,29.7,,0,1,0,0,0,44,8,0,1,6,0,0,0,0,0,2,0,0,0,8,0
126,1,LG,LG-A,3,1,,,,12.05.09,20.05.09,,,,41,36,0.5256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,1,LG,LG-A,3,0,1,108,Infected LG,12.05.09,20.05.09,11.08.09,91,M,47,42,0.8483,53,47,1.0702,0.9622,2.9,2.2,16.8,19.3,,1,0,0,0,0,46,4,1,0,3,0,0,0,3,0,2,0,0,0,2,0
128,1,LG,LG-A,3,1,,,,12.05.09,20.05.09,,,,42,37,0.6223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,1,LG,LG-A,3,0,1,147.5,Infected LG,12.05.09,20.05.09,11.08.09,91,F,44,39,0.7081,52,46,1.1269,0.9794,1.6,2.1,15.2,18,,0,1,0,3,0,90,4,0,3,3,0,0,0,2,0,0,0,0,0,2,0
130,1,LG,LG-A,3,0,1,254.5,Infected LG,12.05.09,20.05.09,11.08.09,91,F,48,42,0.875,59,53,2.0972,1.8427,7.1,3.8,60.1,51.8,,0,0,0,0,0,32,1,0,3,4,0,0,0,0,0,0,0,0,0,12,1
131,1,HG,HG-B,3,1,,,,13.05.09,20.05.09,,,,42,37,0.6363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,1,HG,HG-B,3,0,0,,Uninfected,13.05.09,20.05.09,11.08.09,90,F,44,39,0.7097,53,46,1.0008,1.0008,3.1,2.5,26.9,16.6,,3,0,0,0,0,63,5,0,4,4,0,1,0,1,0,0,0,0,0,0,0
133,1,HG,HG-B,3,1,,,,13.05.09,20.05.09,,,,46,41,0.831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,1,HG,HG-B,3,1,,,,13.05.09,20.05.09,,,,46,41,0.7514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,1,HG,HG-B,3,0,1,362.9,Infected HG,13.05.09,20.05.09,11.08.09,90,M,43,38,0.6881,57,50,1.7701,1.4072,5.7,3.8,32.5,10.2,,1,0,0,3,0,30,2,0,3,0,0,0,0,0,0,1,0,0,0,7,0
136,0,,,3,0,0,,Control,13.05.09,20.05.09,11.08.09,90,F,43,38,0.6674,51,45,0.9476,0.9476,3.4,2,15.5,13.2,,2,0,0,11,0,63,6,0,1,5,0,1,0,1,0,0,0,0,0,1,0
137,0,,,3,0,0,,Control,13.05.09,20.05.09,11.08.09,90,F,47,42,0.8643,55,48,1.2017,1.2017,1.3,3,27.2,39.8,,2,0,0,6,0,54,18,1,1,5,0,0,1,5,0,0,0,0,0,0,0
138,0,,,3,1,,,,13.05.09,20.05.09,,,,46,41,0.7678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,0,,,3,0,0,,Control,13.05.09,20.05.09,11.08.09,90,M,43,38,0.618,52,46,1.1843,1.1843,4.3,3.3,29.7,8.7,,1,0,0,1,0,44,8,0,1,5,0,0,0,5,0,0,0,0,0,10,0
140,0,,,3,1,,,,13.05.09,20.05.09,,,,38,34,0.4805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
