chick_id	brood_id	brood_composition	sex	rank_in_nest	playback_treatment	nest_temperature_above_ambient	max_daily_temp_hatch_day	mean_max_temp_hatch_to_day2	mean_max_temp_hatch_to_day10	mean_max_temp_hatch_to_day13	hatching_mass	day1_mass	day2_mass	day10_mass	day13_mass	day13_tarsus
96	N5.1LF2	N5.1m2	same	M	4	cont	4.224583333	24.7	25.2	24.97	23.99285714	0.6	0.80000000000000004	NA	NA	8.7	13.78
97	N5.1RF2	N5.1m2	same	F	1	cont	4.224583333	37.2	27.96666667	26.41	25.01428571	0.7	0.69999999999999996	NA	NA	10	13.82
98	N5.3LB2	N5.3m2	same	F	3	cont	3.147916667	26.9	26.63333333	23.72	23.88571429	0.6	0.59999999999999998	NA	5.2999999999999998	8	12.28
99	N5.3RB2	N5.3m2	same	M	1	cont	3.147916667	24.7	25.2	24.97	23.99285714	0.7	0.5	NA	NA	10	13.58
100	N5.3RF2	N5.3m2	same	M	2	cont	3.147916667	25.9	27.36666667	24.13	24.26428571	0.6	0.59999999999999998	0.80000000000000004	6.7999999999999998	7.4	12.47
101	N5.5LF3	N5.5m3	mixed	M	1	treat	4.289583333	22.8	25.13333333	26.09	25.51428571	0.7	1.2	NA	NA	10.3	15.37
102	N5.5RF3	N5.5m3	mixed	M	4	treat	4.289583333	19.8	22.1	26.15	25.22142857	0.6	1	NA	NA	9.2	14.58
103	N5.7LB2	N5.7m2	same	F	1	cont	3.164583333	35.1	31.43333333	27.31	26.02142857	0.7	1	NA	NA	9.7	13.95
104	N5.7LF2	N5.7m2	same	M	4	cont	3.164583333	24.7	25.2	24.97	23.99285714	0.7	0.90000000000000002	NA	NA	9.4	14.41
105	N5.7RB2	N5.7m2	same	F	3	cont	3.164583333	24.7	25.2	24.97	23.99285714	0.7	0.90000000000000002	NA	NA	9.7	14.35
106	N5.8LB2	N5.8m2	mixed	M	1	cont	4.135416667	23.1	25.53333333	23.68	23.99285714	0.7	0.90000000000000002	NA	NA	10.2	14.1
107	N5.8LF2	N5.8m2	mixed	M	4	treat	4.135416667	20.6	21.06666667	22.65	24.69285714	0.7	1.1000000000000001	NA	9.5999999999999996	10.1	13.85
108	N5.8RB2	N5.8m2	mixed	M	2	cont	4.135416667	21.2	20.76666667	22.38	24.76428571	0.5	0.59999999999999998	0.90000000000000002	8.5	9.5	13.85
109	N5.8RF2	N5.8m2	mixed	F	2	cont	4.135416667	21.2	20.76666667	22.38	24.76428571	0.7	0.90000000000000002	1.3999999999999999	9.5	9.9	14.3
110	N6.10LB3	N6.10m3	same	F	2	treat	3.814166667	19.8	22.1	26.15	25.22142857	0.7	1.1000000000000001	NA	NA	9.9	14.31
111	N6.10LF3	N6.10m3	same	M	1	treat	3.814166667	22.8	25.13333333	26.09	25.51428571	0.7	0.69999999999999996	NA	NA	11.1	14.91
112	N6.10RF3	N6.10m3	same	M	2	treat	3.814166667	19.8	22.1	26.15	25.22142857	0.6	1.1000000000000001	NA	NA	10.5	14.41
113	N6.1LB3	N6.1m3	mixed	F	4	cont	4.509583333	19.8	22.1	26.15	25.22142857	0.6	1	NA	NA	9.1	13.94
114	N6.1LF3	N6.1m3	mixed	F	1	treat	4.509583333	22.8	25.13333333	26.09	25.51428571	0.7	1	1.3	NA	9.6	13.5
115	N6.1noCut3	N6.1m3	mixed	M	4	cont	4.509583333	19.8	22.1	26.15	25.22142857	0.6	1	NA	NA	8.6	12.85
116	N6.1RB3	N6.1m3	mixed	F	1	treat	4.509583333	22.8	25.13333333	26.09	25.51428571	0.6	0.80000000000000004	1.3999999999999999	NA	10.2	13.53
117	N6.1RF3	N6.1m3	mixed	F	3	treat	4.509583333	33.8	24.13333333	26	25.64285714	0.7	1	NA	NA	9.5	13.72
118	N6.2RF2	N6.2m2	same	M	1	cont	3.345416667	21	21.96666667	22.7	23	0.6	0.69999999999999996	NA	NA	7.5	12.66
119	N6.3LB2	N6.3m2	mixed	F	3	cont	3.657569444	32.3	24.7	23.35	24.64285714	0.6	0.69999999999999996	NA	NA	9.7	13.09
120	N6.3LF2	N6.3m2	mixed	F	1	treat	3.657569444	23.1	25.53333333	23.68	23.99285714	0.7	0.69999999999999996	1	NA	10.5	13.41
121	N6.3RB2	N6.3m2	mixed	F	1	treat	3.657569444	23.1	25.53333333	23.68	23.99285714	0.7	0.69999999999999996	1.1000000000000001	NA	10.4	14.2
122	N6.4allB3	N6.4m3	same	F	4	treat	5.693333333	24.6	23.76666667	22.71	22.7	0.7	NA	NA	8.5	11	13.47
123	N6.4LB3	N6.4m3	same	F	1	treat	5.693333333	25.1	24.8	23.35	23.24285714	0.7	0.80000000000000004	NA	7.5999999999999996	10.4	13.46
124	N6.4noCut3	N6.4m3	same	F	5	treat	5.693333333	25.4	25.7	22.64	23.22142857	0.6	0.69999999999999996	0.80000000000000004	4.0999999999999996	6.3	11.35
125	N6.5LB3	N6.5m3	mixed	M	3	treat	4.865902778	19.8	22.1	26.15	25.22142857	0.7	0.90000000000000002	NA	NA	10	13.23
126	N6.5LF3	N6.5m3	mixed	F	1	cont	4.865902778	22.8	25.13333333	26.09	25.51428571	0.6	0.69999999999999996	0.90000000000000002	NA	10.7	13.68
127	N6.5RF3	N6.5m3	mixed	M	2	cont	4.865902778	33.8	24.13333333	26	25.64285714	0.6	0.59999999999999998	NA	NA	9.6	14.05
128	N6.6RB2	N6.6m2	same	M	2	treat	4.447847222	26.9	26.63333333	23.72	23.88571429	0.6	1	NA	8.3000000000000007	9.2	13.9
129	N6.6RF2	N6.6m2	same	M	1	treat	4.447847222	25	25.93333333	24.53	24.53571429	0.6	0.69999999999999996	NA	NA	10.6	14.13
130	N6.7RB2	N6.7m2	same	F	1	treat	3.590902778	26.9	26.63333333	23.72	23.88571429	0.5	0.69999999999999996	NA	NA	10	13.47
